"1","1","1","0",NULL,"NOW()",NULL
"2","2","1","0",NULL,"NOW()",NULL
"3","3","1","0",NULL,"NOW()",NULL
"4","4","1","0",NULL,"NOW()",NULL
"5","5","1","0",NULL,"NOW()",NULL
"6","6","1","0",NULL,"NOW()",NULL
"7","7","1","0",NULL,"NOW()",NULL
"8","8","1","0",NULL,"NOW()",NULL
"9","9","1","0",NULL,"NOW()",NULL
"10","10","1","0",NULL,"NOW()",NULL
"11","11","1","0",NULL,"NOW()",NULL
"12","12","1","0",NULL,"NOW()",NULL
"13","13","1","0",NULL,"NOW()",NULL
"14","14","1","0",NULL,"NOW()",NULL
"15","15","1","0",NULL,"NOW()",NULL
"16","16","1","0",NULL,"NOW()",NULL
